sector,node,2023,2030,2035,2040,2045,2050,carrier
Agriculture,AT,0.9907068257669712,0.9907068257669712,0.9907068257669712,0.9907068257669712,0.9907068257669712,0.9907068257669712,Electricity
Agriculture,BE,1.4914222193872155,1.4914222193872155,1.4914222193872155,1.4914222193872155,1.4914222193872155,1.4914222193872155,Electricity
Agriculture,BG,0.2766178943619046,0.2766178943619046,0.2766178943619046,0.2766178943619046,0.2766178943619046,0.2766178943619046,Electricity
Agriculture,CZ,0.8353678239750373,0.8353678239750373,0.8353678239750373,0.8353678239750373,0.8353678239750373,0.8353678239750373,Electricity
Agriculture,DE,6.185762202018454,6.185762202018454,6.185762202018454,6.185762202018454,6.185762202018454,6.185762202018454,Electricity
Agriculture,DK,1.6066530368973624,1.6066530368973624,1.6066530368973624,1.6066530368973624,1.6066530368973624,1.6066530368973624,Electricity
Agriculture,EE,0.1168376065009435,0.1168376065009435,0.1168376065009435,0.1168376065009435,0.1168376065009435,0.1168376065009435,Electricity
Agriculture,ES,4.529364533337651,4.529364533337651,4.529364533337651,4.529364533337651,4.529364533337651,4.529364533337651,Electricity
Agriculture,FI,1.249406755758856,1.249406755758856,1.249406755758856,1.249406755758856,1.249406755758856,1.249406755758856,Electricity
Agriculture,FL,0.8372482989995965,0.8372482989995965,0.8372482989995965,0.8372482989995965,0.8372482989995965,0.8372482989995965,Electricity
Agriculture,FR,6.641751325453479,6.641751325453479,6.641751325453479,6.641751325453479,6.641751325453479,6.641751325453479,Electricity
Agriculture,GB,3.4704799200255745,3.4704799200255745,3.4704799200255745,3.4704799200255745,3.4704799200255745,3.4704799200255745,Electricity
Agriculture,GR,2.0252590087011404,2.0252590087011404,2.0252590087011404,2.0252590087011404,2.0252590087011404,2.0252590087011404,Electricity
Agriculture,HR,0.0556381403111367,0.0556381403111367,0.0556381403111367,0.0556381403111367,0.0556381403111367,0.0556381403111367,Electricity
Agriculture,HU,0.8505764728907447,0.8505764728907447,0.8505764728907447,0.8505764728907447,0.8505764728907447,0.8505764728907447,Electricity
Agriculture,IE,0.4586222824360008,0.4586222824360008,0.4586222824360008,0.4586222824360008,0.4586222824360008,0.4586222824360008,Electricity
Agriculture,IT,5.162303072242357,5.162303072242357,5.162303072242357,5.162303072242357,5.162303072242357,5.162303072242357,Electricity
Agriculture,LT,0.1816496684488076,0.1816496684488076,0.1816496684488076,0.1816496684488076,0.1816496684488076,0.1816496684488076,Electricity
Agriculture,LU,0.0273478837636188,0.0273478837636188,0.0273478837636188,0.0273478837636188,0.0273478837636188,0.0273478837636188,Electricity
Agriculture,LV,0.1595525617790044,0.1595525617790044,0.1595525617790044,0.1595525617790044,0.1595525617790044,0.1595525617790044,Electricity
Agriculture,NL,9.516894209798842,9.516894209798842,9.516894209798842,9.516894209798842,9.516894209798842,9.516894209798842,Electricity
Agriculture,PL,1.6012118924836944,1.6012118924836944,1.6012118924836944,1.6012118924836944,1.6012118924836944,1.6012118924836944,Electricity
Agriculture,PT,0.8669361435681462,0.8669361435681462,0.8669361435681462,0.8669361435681462,0.8669361435681462,0.8669361435681462,Electricity
Agriculture,RO,0.6428253721175587,0.6428253721175587,0.6428253721175587,0.6428253721175587,0.6428253721175587,0.6428253721175587,Electricity
Agriculture,SE,0.8552552519931031,0.8552552519931031,0.8552552519931031,0.8552552519931031,0.8552552519931031,0.8552552519931031,Electricity
Agriculture,SK,0.2605174911315969,0.2605174911315969,0.2605174911315969,0.2605174911315969,0.2605174911315969,0.2605174911315969,Electricity
Ammonia production,AT,9.002528356256004e-06,0.042581923902248,0.1973099449754347,0.1673134296571972,0.1041694719360327,0.0966268779938505,Electricity
Ammonia production,BE,2.1768586569553324e-05,0.017581460062828274,0.03492444588893417,0.9774702179481325,2.053800777776131,2.819828097827915,Electricity
Ammonia production,CH,8.939352849641402e-06,2.8727423846974262e-06,9.856503366309313e-06,0.2357744450116422,0.2544145854458221,0.2582986727331042,Electricity
Ammonia production,CZ,4.1324169587783135e-06,9.351854670232828e-06,9.98309930363933e-05,0.012214796641333,0.0681549651416184,0.0523261788972982,Electricity
Ammonia production,DE,9.618303520793295e-06,1.4778759316037864,5.09243754605736,7.537615367609187,5.291205076726191,12.21824068848504,Electricity
Ammonia production,EE,8.18551067993955e-06,2.5998348080370163e-06,0.0883300367753488,0.0276034223060392,0.0274798401562671,0.0603611982701065,Electricity
Ammonia production,ES,1.387248286765859,2.1291319051272215e-06,2.809126039210061e-06,3.7509765124274904e-06,3.751587921200486e-06,3.0732491631084382e-06,Electricity
Ammonia production,FI,4.7892200661611e-06,5.027838860185226,4.539229426779905,3.849667317204265,3.170033960516939,0.8997609500947841,Electricity
Ammonia production,FL,8.211008409559939e-06,0.017546670644323,0.0347442600529636,0.5675598085214258,1.1468362985543532,1.5051437510300432,Electricity
Ammonia production,FR,7.696222290323046e-06,3.6462007934269424e-06,1.0819171299272463e-05,1.349371503745456e-05,0.1351448677095782,0.1468981603348469,Electricity
Ammonia production,GB,1.4249969614206537e-05,0.15840996685878841,0.4113067257838651,1.9317730390583714,8.533481463740024,9.691910835881574,Electricity
