technology,parameter,value,unit,source,further description
Ammonia cracker,FOM,4.3,%/year,Linear interpolation between 2030 and 2040,
Ammonia cracker,ammonia-input,1.46,MWh_NH3/MWh_H2,Linear interpolation between 2030 and 2040,
Ammonia cracker,investment,928478.86,EUR/MW_H2,Linear interpolation between 2030 and 2040,
Ammonia cracker,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
BioSNG,C in fuel,0.34965,per unit,Linear interpolation between 2030 and 2040,
BioSNG,C stored,0.65035,per unit,Linear interpolation between 2030 and 2040,
BioSNG,CO2 stored,0.23845,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
BioSNG,FOM,1.630168253968254,%/year,Linear interpolation between 2030 and 2040,
BioSNG,VOM,1.6749999999999998,EUR/MWh_th,Linear interpolation between 2030 and 2040,
BioSNG,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
BioSNG,efficiency,0.6475,per unit,Linear interpolation between 2030 and 2040,
BioSNG,investment,1575000.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
BioSNG,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
BtL,C in fuel,0.28049999999999997,per unit,Linear interpolation between 2030 and 2040,
BtL,C stored,0.7195,per unit,Linear interpolation between 2030 and 2040,
BtL,CO2 stored,0.26380000000000003,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
BtL,FOM,2.7438363636363636,%/year,Linear interpolation between 2030 and 2040,
BtL,VOM,1.0631,EUR/MWh_FT,Linear interpolation between 2030 and 2040,
BtL,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
BtL,efficiency,0.4,per unit,Linear interpolation between 2030 and 2040,
BtL,investment,2750000.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
BtL,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
CCGT,FOM,3.3898305082711864,%/year,Linear interpolation between 2030 and 2040,
CCGT,VOM,1.2,EUR/MWh,Linear interpolation between 2030 and 2040,
CCGT,c_b,2.05,50oC/100oC,Linear interpolation between 2030 and 2040,
CCGT,c_v,0.15,50oC/100oC,Linear interpolation between 2030 and 2040,
CCGT,efficiency,0.645,per unit,Linear interpolation between 2030 and 2040,
CCGT,investment,885000.0,EUR/MW,Linear interpolation between 2030 and 2040,
CCGT,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
CH4 (g) fill compressor station,FOM,1.7,%/year,Linear interpolation between 2030 and 2040,
CH4 (g) fill compressor station,investment,1498.9483,EUR/MW_CH4,Linear interpolation between 2030 and 2040,
CH4 (g) fill compressor station,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
CH4 (g) pipeline,FOM,1.5,%/year,Linear interpolation between 2030 and 2040,
CH4 (g) pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2030 and 2040,
CH4 (g) pipeline,investment,150.0,EUR/MW/km,Linear interpolation between 2030 and 2040,
CH4 (g) pipeline,lifetime,50.0,years,Linear interpolation between 2030 and 2040,
CH4 (g) submarine pipeline,FOM,3.0000000000000004,%/year,Linear interpolation between 2030 and 2040,
CH4 (g) submarine pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2030 and 2040,
CH4 (g) submarine pipeline,investment,114.8928,EUR/MW/km,Linear interpolation between 2030 and 2040,
CH4 (g) submarine pipeline,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
CH4 (l) transport ship,FOM,3.5,%/year,Linear interpolation between 2030 and 2040,
CH4 (l) transport ship,capacity,58300.0,t_CH4,Linear interpolation between 2030 and 2040,
CH4 (l) transport ship,investment,151000000.0,EUR,Linear interpolation between 2030 and 2040,
